Disease,Description
Chlamydia,"Chlamydia is a sexually transmitted bacterial infection that can cause urinary symptoms, vaginal discharge, and pelvic pain."
Scabies,"Scabies is a skin condition caused by tiny mites, leading to intense itching and rash."
Tinnitus,"Tinnitus is the perception of ringing or buzzing in the ears without an external sound, often caused by hearing loss or ear infections."
Heart failure,"Heart failure is a condition in which the heart is unable to pump blood effectively, leading to symptoms like shortness of breath, fatigue, and swelling."
Strep throat,"Strep throat is a bacterial infection caused by *Streptococcus* bacteria, leading to a sore throat, fever, and swollen lymph nodes."
Anorexia,"Anorexia is an eating disorder characterized by an intense fear of gaining weight and a distorted body image."
Alzheimer's,"Alzheimer's is a neurodegenerative disease that causes memory loss, confusion, and changes in behavior, particularly in older adults."
Sepsis,"Sepsis is a life-threatening condition caused by the body's response to an infection, leading to widespread inflammation, organ failure, and tissue damage."
Tonsillitis,"Tonsillitis is the inflammation of the tonsils, often caused by viral or bacterial infections, leading to a sore throat and difficulty swallowing."
Pancreatitis,"Pancreatitis is an inflammation of the pancreas, leading to symptoms like severe abdominal pain, nausea, and vomiting."
Depression,"Depression is a mental health disorder characterized by persistent sadness, loss of interest, and other symptoms like fatigue, changes in appetite, and feelings of worthlessness."
Hyperlipidemia,"Hyperlipidemia is an elevated level of lipids (fats) in the blood, which can increase the risk of heart disease and stroke."
Measles,"Measles is a highly contagious viral infection that causes symptoms like a rash, fever, and cough."
Liver cirrhosis,"Liver cirrhosis is scarring of the liver tissue due to long-term liver damage, often caused by alcohol abuse, hepatitis, or fatty liver disease."
Skin cancer,"Skin cancer is a type of cancer that forms in the skin cells, with common types being melanoma, basal cell carcinoma, and squamous cell carcinoma."
Fungal infection,"A fungal infection is an infection caused by fungi, leading to symptoms like itching, redness, and inflammation. Common types include athlete's foot, ringworm, and candidiasis."
Chronic disease,"Chronic diseases are long-lasting conditions that can be controlled but not cured, such as heart disease, diabetes, and arthritis."
Chronic migraine,"Chronic migraines are a type of headache that occurs frequently (more than 15 days a month) and can cause severe pain, nausea, and sensitivity to light."
Croup,"Croup is a viral infection in young children that causes a barking cough and difficulty breathing."
Acute bronchitis,"Acute bronchitis is an inflammation of the bronchi in the lungs, often caused by a viral infection, leading to coughing, wheezing, and difficulty breathing."
Hyperhidrosis,"Hyperhidrosis is a condition characterized by excessive sweating, often in the hands, feet, and underarms."
Bell's palsy,"Bell's palsy is a sudden, temporary weakness or paralysis of the muscles on one side of the face, often caused by viral infections."
Fibroids,"Fibroids are noncancerous growths in the uterus that can cause symptoms like heavy periods, pelvic pain, and frequent urination."
Eczema,"Eczema is a skin condition characterized by dry, itchy patches, often due to an allergic reaction or sensitivity to certain substances."
Addison's disease,"Addison's disease is a disorder of the adrenal glands, leading to symptoms like fatigue, weight loss, and low blood pressure."
Astigmatism,"Astigmatism is a refractive error in the eye, causing blurred or distorted vision due to an irregularly shaped cornea or lens."
Gingivitis,"Gingivitis is a common and mild form of gum disease that causes irritation, redness, and swelling of your gums."
Liver disease,"Liver disease refers to a range of conditions that affect the liver, including cirrhosis, hepatitis, and fatty liver disease."
Vertigo,"Vertigo is a sensation of spinning or dizziness, often caused by inner ear problems or vestibular system dysfunction."
Chikungunya,"Chikungunya is a mosquito-borne viral disease that causes fever, joint pain, and rash."
Rash,"A rash is a change in the skin's appearance or texture, often caused by an allergic reaction, infection, or other skin conditions."
Pneumothorax,"Pneumothorax is the collapse of a lung due to air leakage into the space between the lung and chest wall, leading to sudden chest pain and difficulty breathing."
Diarrhea,"Diarrhea is the condition of having frequent, loose, or watery bowel movements, often caused by infections, food intolerances, or other gastrointestinal issues."
Hemorrhoids,"Hemorrhoids are swollen blood vessels in the rectum or anus, leading to pain, itching, and rectal bleeding."
Diabetic neuropathy,"Diabetic neuropathy is nerve damage caused by long-term high blood sugar levels, leading to symptoms like numbness, pain, and tingling in the extremities."
Ulcerative colitis,"Ulcerative colitis is a chronic inflammatory bowel disease that causes inflammation and ulcers in the colon and rectum, leading to symptoms like diarrhea and abdominal pain."
