Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Anorexia,consult doctor,follow prescribed treatment plan,maintain healthy diet,avoid stress
Alzheimer's,consult doctor,maintain mental activity,exercise regularly,follow prescribed treatment plan
Sepsis,consult doctor,take prescribed medications,maintain good hygiene,stay hydrated
Tonsillitis,consult doctor,take prescribed antibiotics,stay hydrated,rest
Pancreatitis,avoid alcohol,consult doctor,take prescribed medications,eat a healthy diet
Depression,consult doctor,take prescribed medications,maintain a healthy lifestyle,manage stress
Hyperlipidemia,consult doctor,take prescribed medications,maintain healthy diet,exercise regularly
Measles,get vaccinated,consult doctor,take prescribed medications,avoid close contact
Liver_cirrhosis,avoid alcohol,consult doctor,take prescribed medications,maintain healthy diet
Skin_cancer,consult doctor,avoid excessive sun exposure,maintain healthy diet,get regular checkups
Fungal_infection,keep skin dry,consult doctor,apply antifungal creams,avoid sharing personal items
Chronic_disease,consult doctor,maintain healthy lifestyle,stay hydrated,take prescribed medications
Chronic_migraine,consult doctor,take prescribed medications,maintain regular sleep schedule,avoid stress
Croup,consult doctor,take prescribed medications,keep airways clear,stay hydrated
Acute_bronchitis,avoid smoking,take prescribed medications,consult doctor,stay hydrated
Hyperhidrosis,consult doctor,take prescribed medications,maintain good hygiene,wear breathable clothing
Bell's_palsy,consult doctor,take prescribed medications,exercise face muscles,maintain healthy diet
Fibroids,consult doctor,take prescribed medications,maintain healthy diet,exercise regularly
Eczema,consult doctor,apply prescribed creams,avoid allergens,maintain good skin hygiene
Addison's_disease,consult doctor,take prescribed medications,maintain healthy diet,avoid stress
Astigmatism,consult doctor,wear prescribed glasses,maintain regular eye checkups,avoid strain on eyes
Gingivitis,consult dentist,brush regularly,floss daily,avoid smoking
Liver_disease,consult doctor,avoid alcohol,take prescribed medications,maintain healthy diet
Vertigo,consult doctor,take prescribed medications,avoid sudden head movements,stay hydrated
Chikungunya,avoid mosquito bites,consult doctor,stay hydrated,take prescribed medications
Rash,consult doctor,apply prescribed creams,avoid scratching,maintain healthy skin hygiene
Pneumothorax,consult doctor,avoid heavy lifting,rest,follow prescribed treatment plan
Diarrhea,drink plenty of fluids,avoid dairy products,consult doctor,take prescribed medications
Hemorrhoids,avoid constipation,consult doctor,take prescribed medications,eat fiber-rich food
Diabetic_neuropathy,monitor blood sugar,exercise regularly,take prescribed medications,maintain healthy diet
Ulcerative_colitis,consult doctor,take prescribed medications,avoid stress,maintain healthy diet
